,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
0,2009.0,0,0,2,0,5,5,5,5,5,5,5,5,2,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,63,63,63,63,63,63,63,63
1,2016.0,0,0,2,0,2,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
2,2018.0,0,2,0,2,0,4,1,0,4,4,4,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,1,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,59,59,59,59,59,59,59,59,59,59,59,59
3,2019.0,0,2,0,1,1,0,4,1,1,1,0,12,5,2,2,2,2,0,4,1,1,1,1,1,0,26,26,26,26,12,12,5,5,2,2,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
4,2029.0,0,0,2,0,2,2,2,2,0,10,10,10,10,10,10,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,1,1,1,0,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
5,2030.0,0,2,0,2,0,4,1,0,4,4,4,4,4,4,4,1,1,1,0,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,4,4,4,4,1,0,26,26,26,26,26,26,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,2,2,0,65,65,65,65,65,65
6,2033.0,0,2,0,1,1,0,4,1,1,1,0,12,5,2,2,2,2,0,1,0,10,10,10,10,10,10,4,4,4,4,1,1,0,16,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,1,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
7,2034.0,0,2,0,2,0,6,6,6,2,0,3,3,3,3,1,0,0,12,12,12,5,2,0,24,24,24,24,24,24,24,24,24,24,24,24,24,11,11,11,11,11,5,5,5,5,2,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
8,2044.0,0,2,0,2,0,6,6,6,2,0,3,3,3,3,1,0,3,3,3,3,3,3,3,3,1,0,27,27,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,2,0,5,2,0,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
9,2056.0,0,2,0,1,1,0,4,1,1,1,0,12,5,2,2,2,2,0,4,1,1,1,1,1,0,26,26,26,26,12,12,5,5,2,2,0,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
10,2070.0,0,2,0,1,1,0,4,1,1,1,0,0,12,12,12,12,12,5,5,5,2,0,6,6,6,6,6,6,2,0,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
11,2084.0,0,2,0,1,1,0,4,1,1,1,0,12,5,2,2,2,2,0,4,1,1,1,1,1,0,3,3,1,1,1,0,26,26,12,12,12,12,12,12,12,5,2,2,0,13,13,13,13,13,13,6,6,6,6,6,6,6,2,0,60,60,60,60,60,60,60,60,60,60,60
12,2085.0,0,2,0,2,0,4,1,0,4,4,4,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,1,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
13,2091.0,1,1,1,4,4,1,0,4,9,9,9,9,9,9,9,9,9,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,9,9,9,9,9,9,9,4,4,4,4,4,4,1,0,25,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
14,2104.0,0,2,0,2,0,6,6,6,2,0,3,3,3,3,1,0,3,3,3,3,3,3,3,3,1,0,10,10,10,10,4,4,1,1,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
15,2106.0,0,2,0,2,0,6,6,6,2,0,3,3,3,3,1,0,0,8,8,8,8,8,8,8,3,1,0,3,3,3,3,3,3,3,3,3,3,1,0,4,4,4,1,1,1,1,1,1,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
16,2109.0,0,2,0,1,1,0,4,1,1,1,0,12,5,2,2,2,2,0,4,1,1,1,1,1,0,3,3,1,1,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,7,7,3,1,0,57,57,57,57,57,57,57,57,57,57,57,57,57,57
17,2112.0,0,2,0,1,1,0,4,1,1,1,0,0,12,12,12,12,12,5,5,5,2,0,6,6,6,6,6,6,2,0,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,69,69
18,2126.0,0,2,0,2,0,6,6,6,2,0,3,3,3,3,1,0,0,12,12,12,5,2,0,12,12,12,12,12,12,5,5,2,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,4,4,4,1,0,7,3,3,3,3,3,1,1,0,64,64,64,64,64,64,64
19,2130.0,1,1,1,4,4,1,0,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
20,2135.0,0,2,0,2,0,4,1,0,4,4,4,4,4,4,4,1,1,1,0,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,4,4,4,4,1,0,26,26,26,26,26,26,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,2,2,0,40,40,40,40,40,40
